"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Mar 11 02:43:25 UTC 2024","Mon Mar 11 02:43:33 UTC 2024","7660","","5. Log in to the Nucleus Wealth portal, create a Trust Account and complete the onboarding portal","","","","2. Create a Trust Account",""
"passed","Mon Mar 11 02:46:29 UTC 2024","Mon Mar 11 02:46:33 UTC 2024","4417","","6. Company Account","","","","3. Complete Investment Choice",""
"passed","Mon Mar 11 04:41:50 UTC 2024","Mon Mar 11 04:41:56 UTC 2024","5704","","22. Individual Onboarding for Interactive Brokers","","","","11. Complete Compliance",""
"passed","Mon Mar 11 02:35:01 UTC 2024","Mon Mar 11 02:35:14 UTC 2024","13019","","3. Log in to the Nucleus Wealth portal, create an SMSF Account and complete the onboarding portal","","","","7. Complete In SMSF Details",""
"passed","Mon Mar 11 02:46:03 UTC 2024","Mon Mar 11 02:46:20 UTC 2024","16702","","6. Company Account","","","","1. Validate login credentials",""
"passed","Mon Mar 11 02:21:14 UTC 2024","Mon Mar 11 02:21:34 UTC 2024","19897","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","1. Validate login credentials",""
"passed","Mon Mar 11 03:00:53 UTC 2024","Mon Mar 11 03:01:10 UTC 2024","17251","","11. Client Portal - Administration","","","","4. Check Administration Page",""
"passed","Mon Mar 11 02:51:34 UTC 2024","Mon Mar 11 02:51:51 UTC 2024","17148","","9. Client Portal - Home","","","","1. Check links",""
"passed","Mon Mar 11 02:57:30 UTC 2024","Mon Mar 11 02:57:43 UTC 2024","13235","","10. Client Portal - Account Dashboard","","","","1. Direct user to “Your Accounts” page",""
"passed","Mon Mar 11 02:48:53 UTC 2024","Mon Mar 11 02:50:00 UTC 2024","67417","","8. Sign Up new user","","","","1. Create a new user",""
"passed","Mon Mar 11 04:40:38 UTC 2024","Mon Mar 11 04:41:47 UTC 2024","68812","","22. Individual Onboarding for Interactive Brokers","","","","9. Complete Applicants",""
"passed","Mon Mar 11 02:57:44 UTC 2024","Mon Mar 11 02:57:54 UTC 2024","10878","","10. Client Portal - Account Dashboard","","","","3. Direct user to Account Dashboard",""
"passed","Mon Mar 11 04:11:11 UTC 2024","Mon Mar 11 04:11:12 UTC 2024","852","","20. Admin Portal - Check details","","","","7. Check Current Settings",""
"passed","Mon Mar 11 04:40:03 UTC 2024","Mon Mar 11 04:40:07 UTC 2024","3523","","22. Individual Onboarding for Interactive Brokers","","","","6. Complete Build Your Portfolio",""
"passed","Mon Mar 11 04:42:35 UTC 2024","Mon Mar 11 04:43:44 UTC 2024","68618","","22. Individual Onboarding for Interactive Brokers","","","","14. Complete Final Review",""
"passed","Mon Mar 11 02:37:22 UTC 2024","Mon Mar 11 02:37:27 UTC 2024","4316","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","3. Complete Investment Choice",""
"passed","Mon Mar 11 02:33:20 UTC 2024","Mon Mar 11 02:33:24 UTC 2024","4655","","3. Log in to the Nucleus Wealth portal, create an SMSF Account and complete the onboarding portal","","","","3. Complete Investment Choice",""
"passed","Mon Mar 11 02:57:54 UTC 2024","Mon Mar 11 02:58:21 UTC 2024","26286","","10. Client Portal - Account Dashboard","","","","4. Check Tactical Panel",""
"passed","Mon Mar 11 02:23:08 UTC 2024","Mon Mar 11 02:23:18 UTC 2024","10635","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","9. Navigate to Risk Profile",""
"passed","Mon Mar 11 02:58:24 UTC 2024","Mon Mar 11 02:58:36 UTC 2024","11267","","10. Client Portal - Account Dashboard","","","","7. Expand Portfolio",""
"passed","Mon Mar 11 02:58:21 UTC 2024","Mon Mar 11 02:58:23 UTC 2024","2413","","10. Client Portal - Account Dashboard","","","","5. Expand Strategic",""
"passed","Mon Mar 11 02:31:00 UTC 2024","Mon Mar 11 02:31:00 UTC 2024","153","","2. Log in to the Nucleus Wealth portal, create a Personal Super Account and complete the onboarding portal","","","","8. Navigate to Insurance Quote",""
"passed","Mon Mar 11 04:39:38 UTC 2024","Mon Mar 11 04:40:03 UTC 2024","25619","","22. Individual Onboarding for Interactive Brokers","","","","5. Complete Risk Profile",""
"passed","Mon Mar 11 02:30:57 UTC 2024","Mon Mar 11 02:31:00 UTC 2024","3019","","2. Log in to the Nucleus Wealth portal, create a Personal Super Account and complete the onboarding portal","","","","7. Review Review Page",""
"passed","Mon Mar 11 02:33:24 UTC 2024","Mon Mar 11 02:33:44 UTC 2024","20113","","3. Log in to the Nucleus Wealth portal, create an SMSF Account and complete the onboarding portal","","","","4. Complete Risk Profile",""
"passed","Mon Mar 11 03:24:14 UTC 2024","Mon Mar 11 03:24:17 UTC 2024","2578","","13. Client Portal - Change Portfolio","","","","2. Direct user to “Investment Choice”",""
"passed","Mon Mar 11 02:28:39 UTC 2024","Mon Mar 11 02:28:53 UTC 2024","14531","","2. Log in to the Nucleus Wealth portal, create a Personal Super Account and complete the onboarding portal","","","","1. Validate login credentials",""
"passed","Mon Mar 11 02:29:27 UTC 2024","Mon Mar 11 02:29:33 UTC 2024","6622","","2. Log in to the Nucleus Wealth portal, create a Personal Super Account and complete the onboarding portal","","","","5. Complete Screen and Tilts",""
"passed","Mon Mar 11 04:10:58 UTC 2024","Mon Mar 11 04:11:08 UTC 2024","9530","","20. Admin Portal - Check details","","","","4. Direct to Account’s client portal",""
"passed","Mon Mar 11 04:09:00 UTC 2024","Mon Mar 11 04:09:03 UTC 2024","2385","","19. Look Up Investment Account","","","","3. Search Account ID 445",""
"passed","Mon Mar 11 02:44:01 UTC 2024","Mon Mar 11 02:44:03 UTC 2024","1679","","5. Log in to the Nucleus Wealth portal, create a Trust Account and complete the onboarding portal","","","","6. Review Review Page",""
"passed","Mon Mar 11 03:24:17 UTC 2024","Mon Mar 11 03:24:20 UTC 2024","3206","","13. Client Portal - Change Portfolio","","","","3. Direct user to “Build Your Portfolio”",""
"passed","Mon Mar 11 02:44:24 UTC 2024","Mon Mar 11 02:44:25 UTC 2024","347","","5. Log in to the Nucleus Wealth portal, create a Trust Account and complete the onboarding portal","","","","9. Review Final Review",""
"passed","Mon Mar 11 02:35:14 UTC 2024","Mon Mar 11 02:35:18 UTC 2024","3214","","3. Log in to the Nucleus Wealth portal, create an SMSF Account and complete the onboarding portal","","","","8. Navigate from Applicants to Final Review",""
"passed","Mon Mar 11 03:00:52 UTC 2024","Mon Mar 11 03:00:53 UTC 2024","279","","11. Client Portal - Administration","","","","3. Check Upload Verification Documents",""
"passed","Mon Mar 11 02:46:43 UTC 2024","Mon Mar 11 02:46:48 UTC 2024","4202","","6. Company Account","","","","5. Complete Screen and tilts",""
"passed","Mon Mar 11 02:44:22 UTC 2024","Mon Mar 11 02:44:24 UTC 2024","1754","","5. Log in to the Nucleus Wealth portal, create a Trust Account and complete the onboarding portal","","","","8. Navigate from Applicants to Final Review",""
